time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:54:32 2026,1,1,1,1,1,1,372,82,9,1,0,0,14.57453125,212338,51.44919818200996,1002.7276296174773,87.97657117684993
Wed Feb 18 15:54:33 2026,1,1,1,1,1,1,372,82,9,1,0,0,14.5784375,211050,51.53160408170047,1002.732399554484,87.93652116996253
Wed Feb 18 15:54:34 2026,1,1,1,1,1,1,357,79,9,1,0,0,14.58,211950,51.594847877017685,1002.7401476062307,87.87146623170223
Wed Feb 18 15:54:36 2026,1,1,1,1,1,1,357,79,9,1,0,0,14.580390625,212338,51.63904821033704,1002.7476670571929,87.80833108253896
Wed Feb 18 15:54:37 2026,1,1,1,1,1,1,357,79,9,1,0,0,14.5790234375,213119,51.65150265484561,1002.741961033429,87.85624021839456
Wed Feb 18 15:54:38 2026,0,1,1,0,1,1,258,56,8,1,0,0,14.5809765625,213774,51.61388591262467,1002.743487189025,87.84342623054434
Wed Feb 18 15:54:39 2026,0,1,1,0,1,1,258,56,8,1,0,0,14.576875,214963,51.57555615936502,1002.7298045160195,87.95830997282819
Wed Feb 18 15:54:40 2026,0,1,1,0,1,1,258,56,8,1,0,0,14.571015625,215763,51.5055046513673,1002.7320966611296,87.93906436058339
Wed Feb 18 15:54:41 2026,0,1,1,0,1,1,270,60,8,1,0,0,14.5606640625,215229,51.409745292466496,1002.7303629991386,87.95362075963772
Wed Feb 18 15:54:42 2026,0,1,1,0,1,1,270,60,8,1,0,0,14.54796875,216031,51.28857656969099,1002.728171430657,87.9720219220919
Wed Feb 18 15:54:43 2026,0,1,1,0,1,1,270,60,8,1,0,0,14.53625,216166,51.1298643236094,1002.7258836555037,87.99123090357547
Wed Feb 18 15:54:44 2026,0,1,1,0,1,1,261,57,7,1,0,0,14.5262890625,215897,50.97778981717969,1002.7333850364822,87.92824674850651
Wed Feb 18 15:54:45 2026,0,1,1,0,1,1,261,57,7,1,0,0,14.5190625,216166,50.81989154221066,1002.7316873542244,87.9425010347962
Wed Feb 18 15:54:46 2026,0,1,1,0,1,1,261,57,7,1,0,0,14.505,217654,50.698978410891804,1002.7323751676636,87.9367259295762
Wed Feb 18 15:54:47 2026,0,1,1,0,1,1,246,52,6,1,0,0,14.489765625,216569,50.596826396514516,1002.729398189982,87.96172162501492
Wed Feb 18 15:54:48 2026,0,1,1,0,1,1,246,52,6,1,0,0,14.4751171875,216704,50.482271707407946,1002.7273935808843,87.97855302404432
Wed Feb 18 15:54:49 2026,0,1,1,0,1,1,246,52,6,1,0,0,14.459296875,218749,50.41150206723914,1002.7165722166008,88.0694134535015
Wed Feb 18 15:54:50 2026,0,0,0,0,0,0,267,54,4,0,0,0,14.4425,217110,50.32812706432515,1002.7144320105967,88.08738355867675
Wed Feb 18 15:54:51 2026,0,0,0,0,0,0,267,54,4,0,0,0,14.4274609375,217518,50.251257858621486,1002.7117760036334,88.10968459736785
Wed Feb 18 15:54:52 2026,0,0,0,0,0,0,267,54,4,0,0,0,14.40890625,219025,50.16776074427739,1002.7084310136224,88.13777071816283
Wed Feb 18 15:54:53 2026,0,0,0,0,0,0,267,54,3,0,0,0,14.38625,218749,50.08383063636586,1002.7171602034789,88.06447646408176
Wed Feb 18 15:54:54 2026,0,0,0,0,0,0,267,54,3,0,0,0,14.3645703125,218063,49.981313190826036,1002.7103378485084,88.12176001981557
Wed Feb 18 15:54:55 2026,0,0,0,0,0,0,267,54,3,0,0,0,14.350703125,218200,49.948467986356256,1002.7061897277686,88.15658965842874
Wed Feb 18 15:54:56 2026,0,0,0,0,0,0,249,52,2,0,0,0,14.3344921875,218200,49.902867964027564,1002.7067325518681,88.1520318367223
Wed Feb 18 15:54:57 2026,0,0,0,0,0,0,249,52,2,0,0,0,14.318671875,219578,49.87605824885755,1002.707923125304,88.14203519572622
Wed Feb 18 15:54:58 2026,0,0,0,0,0,0,249,52,2,0,0,0,14.3020703125,219578,49.817951157638845,1002.7043808094916,88.17177825233502
Wed Feb 18 15:54:59 2026,0,0,0,0,0,0,246,55,2,0,0,0,14.2872265625,219301,49.76630864720586,1002.703757729942,88.17700994890563
Wed Feb 18 15:55:00 2026,0,0,0,0,0,0,246,55,2,0,0,0,14.2704296875,220134,49.70822012465902,1002.7067563055466,88.15183238904612
Wed Feb 18 15:55:01 2026,0,0,0,0,0,0,246,55,2,0,0,0,14.2524609375,220413,49.64378290329533,1002.7095233633078,88.12859882436932
Wed Feb 18 15:55:02 2026,1,1,1,1,1,1,318,70,4,0,0,0,14.233125,221536,49.554285207742055,1002.7048671571606,88.16769462883333
Wed Feb 18 15:55:03 2026,1,1,1,1,1,1,318,70,4,0,0,0,14.2184765625,220552,49.50275253837455,1002.7045641500677,88.17023883100431
Wed Feb 18 15:55:04 2026,1,1,1,1,1,1,318,70,4,0,0,0,14.206171875,221113,49.457734404061085,1002.7030042375503,88.18333666233443
Wed Feb 18 15:55:05 2026,0,1,1,0,1,1,315,68,4,0,0,0,14.19640625,220832,49.45038492113886,1002.7039456509824,88.17543206685744
Wed Feb 18 15:55:06 2026,0,1,1,0,1,1,315,68,4,0,0,0,14.1883984375,219578,49.47437925417343,1002.6923575774988,88.27273196065087
Wed Feb 18 15:55:07 2026,0,1,1,0,1,1,315,68,4,0,0,0,14.1801953125,220273,49.510813851499805,1002.699327640554,88.2142073352697
Wed Feb 18 15:55:08 2026,0,1,1,0,1,1,309,70,4,0,0,0,14.1696484375,220134,49.55944915895873,1002.6989699073255,88.21721105950162
Wed Feb 18 15:55:09 2026,0,1,1,0,1,1,309,70,4,0,0,0,14.1598828125,219578,49.61442044547518,1002.6947601201006,88.2525588052689
Wed Feb 18 15:55:10 2026,0,1,1,0,1,1,309,70,4,0,0,0,14.1528515625,219439,49.65725207340711,1002.6933767628708,88.26417427832631
Wed Feb 18 15:55:11 2026,0,1,1,0,1,1,324,66,4,0,0,0,14.1423046875,220692,49.71216228417116,1002.69473438165,88.25277492017403
Wed Feb 18 15:55:12 2026,0,1,1,0,1,1,324,66,4,0,0,0,14.1341015625,220413,49.74864297721305,1002.6931198598713,88.26633138697485
Wed Feb 18 15:55:13 2026,0,1,1,0,1,1,324,66,4,0,0,0,14.1258984375,220413,49.76641313591262,1002.6880721687481,88.3087148605951
Wed Feb 18 15:55:14 2026,0,0,0,0,0,0,312,63,4,0,0,0,14.1200390625,219994,49.77821574037172,1002.6903515187282,88.28957603546174
Wed Feb 18 15:55:15 2026,0,0,0,0,0,0,312,63,4,0,0,0,14.1087109375,220413,49.820589052319704,1002.6904094741815,88.28908940627191
Wed Feb 18 15:55:16 2026,0,0,0,0,0,0,312,63,4,0,0,0,14.0969921875,220973,49.825478045132755,1002.6915341747729,88.2796457413944
Wed Feb 18 15:55:17 2026,0,1,1,0,1,1,318,63,7,0,0,0,14.0864453125,219716,49.805540668094515,1002.6928891269905,88.26826875630047
Wed Feb 18 15:55:18 2026,0,1,1,0,1,1,318,63,7,0,0,0,14.077265625,222244,49.792003044003636,1002.6965153625306,88.23782078613738
Wed Feb 18 15:55:19 2026,0,1,1,0,1,1,318,63,7,0,0,0,14.070625,221677,49.753805534697804,1002.6974950259657,88.22959498082427
Wed Feb 18 15:55:20 2026,0,1,1,0,1,1,324,60,9,0,0,0,14.061640625,221677,49.72782082774,1002.6928635875784,88.26848320029147
Wed Feb 18 15:55:21 2026,0,1,1,0,1,1,324,60,9,0,0,0,14.055,221677,49.68340309390529,1002.6818289274297,88.3611371371584
Wed Feb 18 15:55:22 2026,0,1,1,0,1,1,324,60,9,0,0,0,14.0505078125,223242,49.63924433915432,1002.6863781226159,88.32293913725098
Wed Feb 18 15:55:23 2026,0,0,0,0,0,0,306,55,10,0,0,0,14.04875,221818,49.626575174529634,1002.6851734147245,88.33305463414686
Wed Feb 18 15:55:24 2026,0,0,0,0,0,0,306,55,10,0,0,0,14.046015625,222244,49.61379477036925,1002.6857784313657,88.32797452677794
Wed Feb 18 15:55:25 2026,0,0,0,0,0,0,306,55,10,0,0,0,14.0391796875,221677,49.65040997484016,1002.6830002405491,88.3513020174021
Wed Feb 18 15:55:26 2026,0,1,1,0,1,1,321,60,11,0,0,0,14.03,222244,49.661823192833126,1002.6797596419611,88.37851224948538
Wed Feb 18 15:55:27 2026,0,1,1,0,1,1,321,60,11,0,0,0,14.02296875,220273,49.65478058087142,1002.6766565474986,88.40456797175091
Wed Feb 18 15:55:28 2026,0,1,1,0,1,1,321,60,11,0,0,0,14.0165234375,220273,49.66650834577647,1002.6779593147462,88.39362903106934
Wed Feb 18 15:55:29 2026,0,1,1,0,1,1,315,59,12,1,0,0,14.0133984375,220973,49.709796024120365,1002.6693340355241,88.46605309369463
Wed Feb 18 15:55:30 2026,0,1,1,0,1,1,315,59,12,1,0,0,14.0130078125,222386,49.74093412655747,1002.6721172300502,88.44268333082016
Wed Feb 18 15:55:31 2026,0,1,1,0,1,1,315,59,12,1,0,0,14.0149609375,221960,49.84098240594996,1002.6753628313268,88.41543092468764
Wed Feb 18 15:55:32 2026,0,0,0,0,0,0,240,46,9,1,0,0,14.0165234375,220134,49.98475911084016,1002.6779593147462,88.39362903106934
Wed Feb 18 15:55:33 2026,0,0,0,0,0,0,240,46,9,1,0,0,14.0175,219994,50.12858663579005,1002.6744336123977,88.42323330883464
Wed Feb 18 15:55:34 2026,0,0,0,0,0,0,240,46,9,1,0,0,14.0200390625,219439,50.29148336560105,1002.6700720079839,88.45985652515797
