time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:29:29 2026,0,1,1,0,1,1,336,70,9,1,0,0,23.333125,129295,34.60381215942867,1003.4779849598532,81.67822924311302
Wed Feb 18 15:29:30 2026,0,1,1,0,1,1,336,70,9,1,0,0,23.3352734375,128450,34.59826300756955,1003.4762974569168,81.69238954706836
Wed Feb 18 15:29:31 2026,0,1,1,0,1,1,306,65,8,0,0,0,23.3372265625,129484,34.58119331414178,1003.4829939567586,81.6361974779895
Wed Feb 18 15:29:32 2026,0,1,1,0,1,1,306,65,8,0,0,0,23.3407421875,130728,34.587275645656455,1003.4748509284171,81.70452778321481
Wed Feb 18 15:29:33 2026,0,1,1,0,1,1,306,65,8,0,0,0,23.34328125,130922,34.58176379823141,1003.4755472865611,81.6986844402343
Wed Feb 18 15:29:34 2026,0,1,1,0,1,1,306,70,9,0,0,0,23.3442578125,131019,34.576104903779864,1003.4788955386232,81.67058833276631
Wed Feb 18 15:29:35 2026,0,1,1,0,1,1,306,70,9,0,0,0,23.34640625,131408,34.57630731668655,1003.4806901383329,81.65552938238199
Wed Feb 18 15:29:36 2026,0,1,1,0,1,1,306,70,9,0,0,0,23.3477734375,131506,34.56493487683194,1003.4777167746647,81.68047965792951
Wed Feb 18 15:29:37 2026,0,1,1,0,1,1,297,68,9,0,0,0,23.3508984375,131898,34.55372878036541,1003.484600740052,81.622714587301
Wed Feb 18 15:29:38 2026,0,1,1,0,1,1,297,68,9,0,0,0,23.3534375,132689,34.548217957081064,1003.4870381693754,81.60226158679657
Wed Feb 18 15:29:39 2026,0,1,1,0,1,1,297,68,9,0,0,0,23.3559765625,132989,34.55995716812316,1003.4877344456801,81.5964189880091
Wed Feb 18 15:29:40 2026,1,1,1,1,1,1,309,72,8,0,0,0,23.35890625,133390,34.55448289118582,1003.4925558545871,81.5559616366297
Wed Feb 18 15:29:41 2026,1,1,1,1,1,1,309,72,8,0,0,0,23.3610546875,133793,34.560435468259,1003.4926092432844,81.55551364287976
Wed Feb 18 15:29:42 2026,1,1,1,1,1,1,309,72,8,0,0,0,23.36203125,133793,34.56627792945156,1003.4837694181756,81.62969039948642
Wed Feb 18 15:29:43 2026,1,1,1,1,1,1,303,75,11,0,0,0,23.3645703125,134098,34.57226785540623,1003.4896890933276,81.58001715201581
Wed Feb 18 15:29:44 2026,1,1,1,1,1,1,303,75,11,0,0,0,23.367109375,136058,34.58400928003493,1003.4903852663249,81.57417543259857
Wed Feb 18 15:29:45 2026,1,1,1,1,1,1,303,75,11,0,0,0,23.3700390625,135536,34.57853415883942,1003.4899830808093,81.57755024699617
Wed Feb 18 15:29:46 2026,1,1,1,1,1,1,303,75,12,0,0,0,23.372578125,136267,34.58452471545578,1003.4941615755307,81.54248776431034
Wed Feb 18 15:29:47 2026,1,1,1,1,1,1,303,75,12,0,0,0,23.3751171875,136162,34.59626731592811,1003.4965988794834,81.52203597359883
Wed Feb 18 15:29:48 2026,1,1,1,1,1,1,303,75,12,0,0,0,23.37765625,136372,34.60225871183146,1003.4990361739984,81.50158430229565
Wed Feb 18 15:29:49 2026,1,1,1,1,1,1,252,68,10,0,0,0,23.37921875,137325,34.59665402782965,1003.4981251417132,81.50922889397376
Wed Feb 18 15:29:50 2026,1,1,1,1,1,1,252,68,10,0,0,0,23.381171875,137325,34.60259023227342,1003.4978569357343,81.5114794466743
Wed Feb 18 15:29:51 2026,1,1,1,1,1,1,252,68,10,0,0,0,23.3829296875,137432,34.60850829079372,1003.4955260751076,81.53103803444914
Wed Feb 18 15:29:52 2026,1,1,1,1,1,1,237,66,9,0,0,0,23.38390625,138400,34.608600396247354,1003.4919095165014,81.56138517225584
Wed Feb 18 15:29:53 2026,1,1,1,1,1,1,237,66,9,0,0,0,23.38546875,137646,34.59724333498945,1003.4962220834777,81.52519772395351
Wed Feb 18 15:29:54 2026,1,1,1,1,1,1,237,66,9,0,0,0,23.3880078125,139162,34.60323489022923,1003.4986592984449,81.50474671393377
Wed Feb 18 15:29:55 2026,1,1,1,1,1,1,255,73,10,0,0,0,23.3903515625,138617,34.61496092620075,1003.4938101415397,81.54543670406574
Wed Feb 18 15:29:56 2026,1,1,1,1,1,1,255,73,10,0,0,0,23.3923046875,139712,34.60364012737591,1003.4883180987382,81.59152143676002
Wed Feb 18 15:29:57 2026,1,1,1,1,1,1,255,73,10,0,0,0,23.394453125,140488,34.598090531475194,1003.4883711572865,81.59107621182906
Wed Feb 18 15:29:58 2026,1,1,1,1,1,1,249,68,9,0,0,0,23.3969921875,140377,34.58107453475916,1003.4803607544941,81.6582933257412
Wed Feb 18 15:29:59 2026,1,1,1,1,1,1,249,68,9,0,0,0,23.3981640625,140488,34.54092994605157,1003.4805479554785,81.65672247469283
Wed Feb 18 15:30:00 2026,1,1,1,1,1,1,249,68,9,0,0,0,23.39953125,141954,34.52955921190142,1003.4758327811995,81.6962887729429
Wed Feb 18 15:30:01 2026,1,1,1,1,1,1,270,76,12,0,0,0,23.4020703125,141161,34.51829959863274,1003.4765285427087,81.690450441125
Wed Feb 18 15:30:02 2026,1,1,1,1,1,1,270,76,12,0,0,0,23.403046875,142297,34.51264250360058,1003.4676879631744,81.76463449084704
Wed Feb 18 15:30:03 2026,1,1,1,1,1,1,270,76,12,0,0,0,23.404609375,142182,34.507040744640776,1003.4737417351812,81.71383535186075
Wed Feb 18 15:30:04 2026,1,1,1,1,1,1,261,71,14,0,0,0,23.406171875,142411,34.4726994044549,1003.4676065876893,81.76531734028778
Wed Feb 18 15:30:05 2026,1,1,1,1,1,1,261,71,14,0,0,0,23.4071484375,142526,34.44980334578848,1003.472696157015,81.72260911525925
Wed Feb 18 15:30:06 2026,1,1,1,1,1,1,261,71,14,0,0,0,23.407734375,143219,34.43261979574208,1003.4719190857293,81.72912976081446
Wed Feb 18 15:30:07 2026,1,1,1,1,1,1,261,75,17,1,0,0,23.4096875,143684,34.42131191858061,1003.4699092558517,81.74599488403983
Wed Feb 18 15:30:08 2026,1,1,1,1,1,1,261,75,17,1,0,0,23.4102734375,143918,34.40987646068261,1003.4726147480832,81.72329224259917
Wed Feb 18 15:30:09 2026,1,1,1,1,1,1,261,75,17,1,0,0,23.4106640625,144624,34.409913136952376,1003.4697749744598,81.74712168297897
Wed Feb 18 15:30:10 2026,0,1,1,0,1,1,246,70,18,1,0,0,23.4110546875,144980,34.398460189975765,1003.4669351970197,81.77095120999402
Wed Feb 18 15:30:11 2026,0,1,1,0,1,1,246,70,18,1,0,0,23.4118359375,145218,34.410023166659705,1003.4717033810228,81.73093980645756
Wed Feb 18 15:30:12 2026,0,1,1,0,1,1,246,70,18,1,0,0,23.4122265625,145456,34.39282569454149,1003.4706048903668,81.74015758996491
Wed Feb 18 15:30:13 2026,0,1,1,0,1,1,252,70,15,1,0,0,23.4126171875,146178,34.387118077022265,1003.4677651038168,81.76398717746173
Wed Feb 18 15:30:14 2026,0,1,1,0,1,1,252,70,15,1,0,0,23.413203125,146420,34.364198124425904,1003.4652467120916,81.78511988044518
Wed Feb 18 15:30:15 2026,0,1,1,0,1,1,252,70,15,1,0,0,23.41359375,146663,34.38146564878302,1003.4589243247051,81.83817342649274
Wed Feb 18 15:30:16 2026,1,1,1,1,1,1,285,80,17,1,0,0,23.4141796875,146178,34.38152062735458,1003.4529233248338,81.88853033860623
Wed Feb 18 15:30:17 2026,1,1,1,1,1,1,285,80,17,1,0,0,23.41515625,146906,34.39310066243505,1003.4771672048541,81.68509124911719
Wed Feb 18 15:30:18 2026,1,1,1,1,1,1,285,80,17,1,0,0,23.4153515625,147151,34.3873746792301,1003.4687820989268,81.7554532290969
Wed Feb 18 15:30:19 2026,0,1,1,0,1,1,291,77,17,1,0,0,23.4169140625,147642,34.38177719847141,1003.46787068041,81.76310124839694
Wed Feb 18 15:30:20 2026,0,1,1,0,1,1,291,77,17,1,0,0,23.417890625,147396,34.36463777918374,1003.469477671157,81.74961645236776
Wed Feb 18 15:30:22 2026,0,1,1,0,1,1,291,77,17,1,0,0,23.417890625,148385,34.3416661346754,1003.4625124395928,81.80806416288924
Wed Feb 18 15:30:23 2026,0,1,1,0,1,1,282,73,17,1,0,0,23.4188671875,148885,34.307306768557616,1003.4676020411773,81.76535549161754
Wed Feb 18 15:30:24 2026,0,1,1,0,1,1,282,73,17,1,0,0,23.41984375,148261,34.26147596372678,1003.4674677145998,81.76648267182955
Wed Feb 18 15:30:25 2026,0,1,1,0,1,1,282,73,17,1,0,0,23.420234375,149894,34.23281824577772,1003.4663691941417,81.77570073691255
Wed Feb 18 15:30:26 2026,1,1,1,1,1,1,282,71,19,1,0,0,23.4204296875,149894,34.204147752567195,1003.4614666468129,81.8168398066955
Wed Feb 18 15:30:27 2026,1,1,1,1,1,1,282,71,19,1,0,0,23.4208203125,150660,34.16976500698398,1003.4638507519719,81.79683388700045
Wed Feb 18 15:30:28 2026,1,1,1,1,1,1,282,71,19,1,0,0,23.41984375,150149,34.16393808151859,1003.4622437754512,81.81031862488071
Wed Feb 18 15:30:29 2026,0,1,1,0,1,1,282,71,19,1,0,0,23.420234375,150021,34.14676859129342,1003.4576626244948,81.84876086300353
Wed Feb 18 15:30:30 2026,0,1,1,0,1,1,282,71,19,1,0,0,23.4208203125,150660,34.1124172777358,1003.4499202303841,81.91373065786131
Wed Feb 18 15:30:31 2026,0,1,1,0,1,1,282,71,19,1,0,0,23.4208203125,151824,34.1124172777358,1003.4534028601735,81.88450634706047
Wed Feb 18 15:30:32 2026,0,1,1,0,1,1,276,70,16,1,0,0,23.4219921875,151046,34.11252653258003,1003.4535898952081,81.88293685439854
Wed Feb 18 15:30:33 2026,0,1,1,0,1,1,276,70,16,1,0,0,23.4219921875,152610,34.118260326257406,1003.451848577117,81.89754902415287
Wed Feb 18 15:30:34 2026,0,1,1,0,1,1,276,70,16,1,0,0,23.4219921875,151824,34.101059608144,1003.4588138500887,81.83910046322981
Wed Feb 18 15:30:35 2026,1,1,1,1,1,1,270,70,13,1,0,0,23.4219921875,151954,34.106792959875555,1003.4640378058808,81.79526424919014
Wed Feb 18 15:30:36 2026,1,1,1,1,1,1,270,70,13,1,0,0,23.4227734375,153938,34.1011324252735,1003.463582065194,81.7990885365056
Wed Feb 18 15:30:37 2026,1,1,1,1,1,1,270,70,13,1,0,0,23.4223828125,153271,34.10682937341013,1003.4594566368766,81.83370658311227
Wed Feb 18 15:30:38 2026,1,1,1,1,1,1,273,68,10,0,0,0,23.4227734375,154341,34.12406719838914,1003.4600994237713,81.82831270488956
Wed Feb 18 15:30:39 2026,1,1,1,1,1,1,273,68,10,0,0,0,23.423359375,153804,34.12985609516692,1003.4575809600501,81.84944614273957
Wed Feb 18 15:30:40 2026,1,1,1,1,1,1,273,68,10,0,0,0,23.423359375,154476,34.12985609516692,1003.4523569944124,81.89328266778617
Wed Feb 18 15:30:41 2026,1,1,1,1,1,1,291,73,9,0,0,0,23.42375,154072,34.15856713558773,1003.4547410990239,81.87327660562994
